MARKER	BETA	SE
rs10001176	-0.043380335	0.071117813
rs1003274	-0.011510335	0.066768679
rs10035446	-0.002582511	0.045198633
rs10039821	-0.057054653	0.084275598
rs10042000	-0.008173391	0.054880365
rs1006231	-0.013730246	0.061653669
rs1006236	0.001549279	0.065931089
rs10070482	0.013323413	0.080136038
rs10081181	0.012322304	0.064841285
rs10091822	-0.031277877	0.097223002
rs1010771	-0.006764496	0.053195457
rs1011682	0.002384295	0.032018584
rs10118629	0.013378523	0.060189054
rs1012734	0.006089763	0.036111108
rs1013024	-0.006367208	0.065969711
rs10141852	0.002348219	0.044779685
rs10167007	-0.030347459	0.041831824
rs10170780	0.007765208	0.087716471
rs10188590	-0.045981838	0.049510096
rs10208376	-0.004045743	0.049853498
rs10216128	0.002624538	0.049839336
rs1022719	0.019022497	0.024012878
rs10232581	0.006670418	0.062910687
rs10234345	0.0151377	0.09119158
rs10237172	-0.015523988	0.043009467
rs10254630	0.007873011	0.039377922
rs1026021	-0.010085657	0.04963068
rs10264615	0.004491113	0.051092521
rs1026591	-0.052168346	0.086763936
rs10275665	-0.010700247	0.061191877
rs1039294	0.004972445	0.057610085
rs10404322	0.002982163	0.042301874
rs10419687	-0.013752219	0.028082544
rs10493287	-0.010889006	0.05884704
rs10495065	0.002913943	0.057141913
rs10495638	-0.004987522	0.041306791
rs10501864	0.010009498	0.05146169
rs10504271	-0.016230281	0.038166869
rs10506746	0.008589784	0.051053915
rs10507462	0.024791355	0.047751126
rs10513510	0.001882028	0.040776931
rs10514304	-0.012822938	0.043936965
rs10514916	0.013650385	0.041061832
rs10516898	-0.017130443	0.108537536
rs10518518	0.01769004	0.037438206
rs10520749	0.008238709	0.035554804
rs1065634	-0.000229052	0.057473375
rs10748140	0.002176607	0.060872203
rs10756994	-0.003659356	0.070821368
rs10761188	0.003151703	0.044826616
rs10764341	0.000715582	0.044123243
rs10771994	-0.010534762	0.021370681
rs1077540	0.015252989	0.024048231
rs10778321	-0.00902524	0.035761721
rs10787040	-0.003028132	0.028919392
rs10787949	-0.009447043	0.034490355
rs10788284	-0.002808787	0.035790694
rs10793926	-0.030659407	0.073903997
rs10795127	0.02185513	0.06477697
rs10795741	0.011400816	0.048627388
rs10812636	-0.00482765	0.027772741
rs10833755	-0.010287509	0.045391082
rs10835489	-0.005511288	0.059964589
rs10844609	0.007070432	0.067547384
rs10847868	0.007630948	0.05094019
rs10866321	-0.01497207	0.062499072
rs10873013	0.011058086	0.051959165
rs10878631	0.009980575	0.036603689
rs10882755	0.001097431	0.045245487
rs10899934	0.024602334	0.071556396
rs10913319	-0.022955412	0.042281381
rs10917895	-0.01484023	0.038167482
rs10926413	-0.00986449	0.083745531
rs10936919	-0.022035297	0.065896815
rs10940241	-0.000745946	0.049817067
rs10944788	0.039568857	0.072664092
rs10952730	0.000963864	0.049452042
rs10953544	0.007292334	0.082366186
rs10963434	0.011063818	0.040022133
rs10965703	-0.022048871	0.051666071
rs10969161	0.018009412	0.096719604
rs10970374	0.019487432	0.063670826
rs10971627	-0.005358195	0.023610845
rs10971806	0.018923124	0.049428999
rs10976209	0.010929921	0.063615044
rs10982688	-0.015650239	0.045513187
rs10994548	0.002090559	0.042156723
rs10999204	0.003885795	0.050054554
rs11007614	0.003063245	0.031656568
rs11017481	-0.023707656	0.036818697
rs11027978	0.018559032	0.058050293
rs11063036	0.008385588	0.090619823
rs11066360	0.003778433	0.048593861
rs11071065	-0.010371184	0.046231202
rs11072464	0.009290555	0.034001108
rs11078799	0.012912902	0.038006869
rs11120144	0.003328157	0.035891391
rs11139944	-0.0028725	0.045001502
rs11156373	-0.015758831	0.042298003
rs11189879	-0.00870891	0.046394972
rs1120114	0.009956319	0.033023192
rs11208138	0.011525155	0.055774667
rs11208711	-0.012203499	0.041103146
rs11212198	0.041535404	0.072614165
rs11257231	0.004435291	0.039292172
rs1149144	-0.023192344	0.070511418
rs11588568	0.007053918	0.068586312
rs11597868	0.002559026	0.044943701
rs11617302	-0.007607999	0.052031379
rs11637827	-0.000382975	0.052083408
rs11646496	-0.016335171	0.04411355
rs11651187	-0.012276335	0.033642274
rs11653494	0.030688482	0.044880813
rs11662715	0.001598048	0.059860457
rs11674781	-0.008715117	0.034657964
rs11678205	0.002195201	0.024119596
rs11679232	-0.020307624	0.027848602
rs11687914	-0.000546424	0.030724423
rs11695483	0.006286721	0.038842885
rs11699206	-0.001492103	0.088256099
rs11703901	-0.011147142	0.052724164
rs11705036	0.022702218	0.051055117
rs11713492	-0.003084136	0.060898573
rs11717522	0.007327432	0.044097051
rs11727729	0.001110879	0.049184659
rs11732270	-0.006660189	0.062690198
rs11740173	0.010797096	0.045260466
rs11743265	-0.008237635	0.056805257
rs11743734	-0.012219076	0.092861863
rs11746975	-0.005106889	0.039383683
rs11748731	-0.006305267	0.076620873
rs11770365	-0.005534345	0.048836284
rs1177441	-0.014953355	0.05728354
rs11778398	-0.016078078	0.032159164
rs11815869	-0.024230397	0.073281754
rs11822107	0.014664607	0.068062948
rs11830399	-0.001109824	0.04323731
rs11847642	0.021725678	0.037559963
rs11848334	0.024764091	0.059301657
rs11848876	0.008123458	0.031421273
rs11870781	0.023793163	0.065133682
rs11883934	0.01990412	0.054894588
rs11889461	-0.009914707	0.038270542
rs11904395	-0.016661322	0.082917742
rs11910318	0.029572186	0.083045567
rs11922142	0.009718046	0.041306471
rs11923554	-0.052721584	0.109061355
rs11949831	-0.017754463	0.037883148
rs11952604	-0.00423774	0.027436196
rs11971519	0.003202808	0.068401235
rs11972484	0.008083898	0.063931531
rs11991056	0.028530709	0.064681808
rs12033074	-0.020349999	0.044023143
rs12046080	0.050545611	0.059862882
rs12056012	-0.074394292	0.059140417
rs12060288	0.008828041	0.058557774
rs1207688	-0.015411584	0.036504962
rs12120693	-0.011317924	0.027219061
rs12128452	0.01508763	0.03065429
rs12258548	-0.021732698	0.074517195
rs1226187	-0.000151613	0.051164454
rs12266064	-0.014809832	0.036213951
rs12342792	-0.025551225	0.097442301
rs12364162	-0.017744048	0.065652973
rs12403548	0.016572271	0.058358127
rs12403850	0.008036267	0.030398351
rs12407471	0.017255766	0.053256058
rs12408622	-0.012829243	0.083125225
rs12409341	0.049999004	0.049818657
rs12437184	-0.036768467	0.089270721
rs12445499	0.009702022	0.046584346
rs12447614	-0.029663213	0.029165714
rs1246726	0.003870651	0.045962274
rs12484057	0.012598665	0.051538115
rs12493775	0.01443953	0.035746184
rs12498571	0.000486356	0.050228099
rs12503874	0.016852771	0.033237222
rs12509468	0.008295754	0.054845945
rs12512316	0.005422229	0.039974316
rs1252168	-0.007108757	0.056972839
rs12543257	0.022111777	0.076391348
rs12549798	-0.007213482	0.034354246
rs12563385	-0.001329579	0.070596552
rs12586747	0.002798281	0.042190009
rs12596862	-0.000586387	0.0635846
rs12607104	-0.027346546	0.052229444
rs12608944	0.040525583	0.064375098
rs12609406	-0.026948783	0.047892491
rs12613072	0.002468546	0.074188546
rs12616653	-0.013953768	0.070696008
rs12618964	-0.011948115	0.061829988
rs12630461	-0.000788166	0.051629736
rs12632249	0.005220244	0.044897354
rs1263799	0.00899938	0.025682225
rs12650506	-0.008735396	0.086595728
rs12693374	0.024976756	0.039558238
rs12705240	0.015222525	0.04178252
rs12737946	-0.050465508	0.057082797
rs12741488	0.00385781	0.093941085
rs1274328	-0.002806422	0.033833668
rs1274470	-0.017814876	0.056334219
rs12748214	0.035799136	0.064692687
rs12796256	-0.011665481	0.10220385
rs12798013	0.02780819	0.080773491
rs12805912	-0.01176918	0.052753501
rs12809259	0.021531804	0.090103432
rs12818575	-0.011635508	0.039604159
rs12863308	0.015711177	0.042887212
rs12906670	0.006964484	0.047883431
rs12912024	-0.011130987	0.034404036
rs12914703	-0.008780913	0.059950343
rs12934959	0.018458693	0.069855828
rs12939410	-0.029996979	0.072707886
rs12945461	-0.022514183	0.04805925
rs1294718	-0.019288595	0.035095864
rs12959185	-0.023370369	0.035384875
rs12964563	0.025947699	0.067949757
rs12968890	0.010620983	0.05005994
rs12989210	-0.002868749	0.057682549
rs1299066	-0.0023108	0.035876958
rs13011734	0.016050139	0.038803622
rs13023154	0.000208851	0.017772496
rs13029247	0.006673702	0.047630506
rs13032403	-0.010516604	0.07433284
rs13061398	0.005091646	0.049693325
rs13070471	-0.000338506	0.067928409
rs13110546	0.019316238	0.050996331
rs13115070	0.002586828	0.068053879
rs13124843	-0.04605209	0.059175039
rs13145127	-0.004937461	0.055553638
rs13145897	-0.005767932	0.048467738
rs13151337	0.001950367	0.034971445
rs13159331	0.013860206	0.046311806
rs13159550	-0.016321226	0.028195317
rs13179491	-0.002335501	0.053399226
rs13182980	0.01172725	0.04485072
rs13225022	0.027811275	0.032226758
rs1325177	0.00084294	0.038806969
rs13255427	-0.017732545	0.095744175
rs13256669	-0.015141511	0.031773354
rs1326724	0.014486008	0.059653821
rs13280005	0.01260901	0.031960615
rs13359468	-0.017427678	0.055454988
rs1344515	-0.026465258	0.076139695
rs1345494	-0.003584528	0.051158027
rs1359489	-0.010597129	0.038270473
rs1360063	0.00798884	0.054317322
rs1362512	-0.015615528	0.020709947
rs1370189	0.004862234	0.056570331
rs1371402	0.007703117	0.036993823
rs1391954	0.008789651	0.024432319
rs1393145	-0.010647725	0.04604229
rs140179	0.018528803	0.048987067
rs1404770	-0.020737855	0.045355578
rs1404947	0.011354451	0.035691996
rs1408319	-0.000255902	0.044610453
rs1426506	0.004887278	0.048064072
rs1427599	-0.024880071	0.077292333
rs1431054	0.015916385	0.050057887
rs1440825	-0.00582453	0.037620173
rs1449562	0.002519237	0.040562822
rs1455911	-0.025505073	0.045379827
rs1472777	0.001692912	0.077116607
rs1476722	-0.081143433	0.170242871
rs1477495	0.033660966	0.079747553
rs1489026	-0.002736808	0.044921516
rs1504071	0.001390051	0.05240193
rs1509167	0.012756536	0.044182741
rs1511392	-0.012058819	0.03909942
rs151452	-0.017791072	0.030569059
rs1520343	-0.000303845	0.04479484
rs1529625	0.02516786	0.036119284
rs1533641	-0.007696358	0.03618954
rs1535060	-0.010306424	0.052336674
rs1537699	0.001128437	0.03898831
rs155111	-0.001760955	0.044145515
rs1554945	-0.013006894	0.066557734
rs1559172	0.007443578	0.039683375
rs1565356	0.006362345	0.069222584
rs1595895	-0.013884371	0.059135634
rs159725	0.003182182	0.067149794
rs1598538	-0.025633889	0.059982555
rs1635586	-0.001936071	0.040244636
rs1643393	-0.001584078	0.055112872
rs1647108	0.003910167	0.044522099
rs16824410	0.036572523	0.05062659
rs16829329	-0.028314175	0.057280119
rs16837372	0.017760253	0.122787536
rs16838482	-0.057169802	0.066357377
rs16856896	-0.037647059	0.081222357
rs16866010	-0.002362356	0.028195376
rs16868941	-0.027732938	0.050098856
rs16881601	-0.006565412	0.062111381
rs16886034	-0.035579324	0.071111051
rs16906532	0.035304013	0.048348206
rs16915879	0.009245244	0.091440409
rs16917433	-0.006498094	0.060623143
rs16931195	-0.00074557	0.071232624
rs16945609	-0.022566116	0.079091339
rs16976627	0.0047542	0.062934549
rs17014661	-0.018878949	0.080907801
rs17044564	0.003456005	0.05660134
rs17057533	-0.007446247	0.086782111
rs17062359	0.000262636	0.077775669
rs17074455	-0.014717421	0.049448718
rs17076671	-0.003591395	0.084988438
rs17089386	0.021896037	0.077149315
rs17093637	0.011110109	0.051750599
rs17099155	-0.003084841	0.050508634
rs17105951	-0.007085918	0.049795259
rs17127148	0.039902413	0.060587957
rs17128690	0.014043146	0.052135355
rs17129806	-0.031190699	0.082849795
rs17139270	-0.010391516	0.067612313
rs17142860	0.009743701	0.058926352
rs17150661	0.017399582	0.066984284
rs17151060	-0.025121613	0.06050295
rs17239691	0.010674189	0.055751168
rs17260258	0.005517833	0.044353112
rs17269605	0.051454307	0.065976351
rs17270056	-0.015325809	0.060165039
rs17275030	-0.034751536	0.104359783
rs1735802	-0.024630936	0.032129921
rs17392781	-0.006806439	0.047064281
rs17406681	0.014926169	0.040097059
rs17448991	0.009831127	0.042602901
rs17454842	-0.008150244	0.060564166
rs17549892	0.021361136	0.0531937
rs17556751	-0.042823634	0.065724739
rs17603347	-0.020602301	0.045989795
rs1760758	-0.004004507	0.039410677
rs17610120	0.024392369	0.081686142
rs1764773	0.002155173	0.060323536
rs17656106	0.025854326	0.063365836
rs17669	-0.001031461	0.048102188
rs17685188	0.005374634	0.041915331
rs17715902	-0.003838995	0.045699281
rs17716283	-0.000872265	0.04822095
rs17723027	-0.012657254	0.057459663
rs17733784	-0.010846126	0.026607187
rs17766381	-0.014245711	0.050951274
rs17811857	-0.001912726	0.029414225
rs17821010	-0.020524084	0.052417235
rs180785	-0.020435423	0.07498702
rs1809717	-0.013561383	0.056699767
rs1827303	0.010588337	0.052347518
rs183108	0.004981993	0.070793025
rs1832649	-0.00466324	0.022375044
rs186201	0.015603735	0.06730908
rs1873108	0.017226608	0.050707359
rs1874219	-0.010274991	0.03471445
rs187632	0.007109687	0.035446241
rs1888861	0.008685822	0.065744259
rs1891720	-0.001242306	0.045251667
rs1898667	-0.006849342	0.039642993
rs1905517	-0.004762248	0.034835917
